date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-07-11,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-07-12,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-07-13,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-07-14,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-07-15,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-07-16,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-17,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-18,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-19,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-20,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-21,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-22,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-23,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-24,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-25,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-26,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-27,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-28,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-29,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-30,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-07-31,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-01,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-02,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-03,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-04,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-05,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-06,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-07,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-08,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-09,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-10,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-11,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-12,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-13,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-14,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-15,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-16,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-17,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-18,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-19,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-20,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-08-21,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-08-22,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-08-23,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-08-24,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-08-25,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-08-26,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-08-27,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-08-28,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-08-29,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-08-30,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-08-31,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-09-01,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
